zh-CN,zh-TW,en,ja,ko,fr,de,it,es,pt,ru,th,vi,id
“谈剑”,「談劍」,"""A Dialog of Swords""",「談剣」,'검을 논하리라',« Les épées ont parlé »,„Ein Dialog der Schwerter“,"""Dialogo di spade""",“Un diálogo entre espadas”,"""Um Diálogo de Espadas""",«Диалог мечей»,"""บทสนทนา​แห่ง​คม​ดาบ​""","""Lời Đối Đáp Của Kiếm""",“Dialog Pedang”
“以拳问心”,「以拳問心」,"""A Fistful of Reflections""",「心映す一拳」,"'주먹, 부딪히는 마음'",« Une poignée de reflets »,„Für eine Handvoll Reflexionen“,"""Una serie di riflessioni""",“Un puñado de reflexiones”,"""Um Punhado de Reflexões""",Кулак отражений,"""ภาพสะท้อน​ใน​กำมือ​""","""Một Thoáng Suy Ngẫm""",“Segenggam Refleksi”
“启封”,「啟封」,"""A Seal Lifted""",「開封」,'봉인 해제',« Le sceau levé »,„Ein gebrochenes Siegel“,"""Un sigillo sospeso""",“Un sello liberado”,"""Um Selo Rompido""",Снятая печать,"""ผนึก​ที่​ถูก​ปลด​""","""Khi Phong Ấn Được Khai Mở""",“Segel yang Terbuka”
“熄灭火炬”,「熄滅火炬」,"""A Torch Extinguished""",「炬火消ゆ」,'꺼져버린 불씨',« Torche étouffée »,„Eine gelöschte Fackel“,"""Una fiamma estinta""",“Una antorcha apagada”,"""Uma Tocha Extinta""",«Погасший факел»,"""คบเพลิง​ที่​ดับ​แสง​""","""Ngọn Đuốc Lụi Tàn""",“Obor Padam”
“道具赛？”,「道具賽？」,"""Arms Race?""",「アイテムバトル？」,'아이템전?',« Course aux armements ? »,„Wettrüsten“?,"""Corsa agli armamenti?""",“¿Carrera armamentística?”,"""Corrida de Braços?""",Гонка вооружений?,การแข่งขัน​สะสม​อาวุธ​?,"""Cuộc Chạy Đua Vũ Trang?""",“Lomba Senjata?”
“六方巧境”,「六方巧境」,"""Artful Realm of Six Cardinals""",「六方密境」,'여섯 방향의 기묘한 구역',« Royaume artistique des Six Cardinaux »,„Kunstvolles Reich der Sechs Kardinäle“,"""Regno artistico dei sei cardinali""",“El ingenioso reino de los seis cardenales”,"""Reino Artístico dos Seis Cardeais""",«Обитель шести искусных измерений»,"""แดน​ศิลป์​แห่ง​หก​ทิศ​""","""Cõi Tinh Diệu Lục Phương""",“Dunia Seni Enam Kardinal”
“正在抓捕验收人员”,「正在抓捕驗收人員」,"""Auditors Trapped""",「落とし穴チェック係」,'누가 이거 검수했니?',« Auditeurs pris au piège »,„Prüfer in der Falle“,"""Ispezione trappola""",“Auditores atrapados”,"""Auditores Aprisionados""",Ревизоры в западне,"""ผู้ตรวจสอบ​ที่​ติดกับดัก​""","""Kiểm Soát Bị Sa Lưới""",“Auditor Terjebak”
“苏醒”,「甦醒」,"""Awaken""",「復活」,'각성',« Éveil »,„Erwache“,"""Risveglio""",“Despertar”,"""Despertar""",Пробуждение,"""การตื่น​รู้​""","""Thức Tỉnh""",“Bangkit”
“四皇会战”,「四皇會戰」,"""Battle of the Four Emperors""",「四皇会戦」,'사황 결전',« La bataille des quatre empereurs »,„Kampf der vier Kaiser“,"""Battaglia dei quattro imperatori""",“Batalla de los Cuatro Emperadores”,"""Batalha dos Quatro Imperadores""",Битва четырех императоров,"""ศึก​สี่​จักรพรรดิ​""","""Đại Chiến Tứ Hoàng""",“Pertempuran Empat Kaisar”
“小兽的赠礼”,「小獸的贈禮」,"""Beastie's Tribute""",「獣の贈り物」,'작은 야수의 선물',« Don de bestiole »,„Tribut des Fellknäuels“,"""Tributo dell'animaletto""",“Tributo de la pequeña bestia”,"""Tributo Bestial""",Подношение зверька,"""เครื่องบรรณาการ​แห่ง​อสูร​""","""Cống Phẩm Từ Thú Cưng""",“Persembahan si Buas”
“悬顶之剑”,「懸頂之劍」,"""Blade Hanging by a Thread""",「頭上の剣」,'단두대의 칼날',« La lame suspendue »,„Schwebende Gefahr“,"""La lama della ghigliottina""",“Espada pendiendo de un hilo”,"""Lâmina Suspensa Por um Fio""","«Клинок, висящий на волоске»","""คม​ดาบ​ที่​แขวน​อยู่​บน​เส้นด้าย​""","""Kiếm Treo Chỉ Mành""",“Pedang di Ujung Benang”
“雷噪止息”,「雷噪止息」,"""Blitzcrash's Silent Passing""",「噪雷の弔い」,'전뢰가 잦아든 자리',« Le trépas silencieux de Fracas »,„Blitzcrashs leiser Abgesang“,"""Il silenzio del Bottoblitz""",“El paso silencioso de Blitzcrash”,"""A Morte Silenciosa de Blitzcrash""",Молчание Молнии,"""การ​จากไป​อย่าง​เงีย​บๆ​ ของ​บ​ลิตซ์​แค​ร​ช​""","""Bước Qua Trong Lặng Im Của Blitzcrash""",“Blitzcrash Pergi dalam Sunyi”
“星体的残肢”,「星體的殘肢」,"""Broken Remains of Astarron""",「アスタロンの残骸」,'별체의 잔해',« Les restes brisés d'Astarron »,„Zerbrochene Reste von Astarron“,"""Resti spezzati di Astarron""",“Restos Rotos de Astarron”,"""Restos Quebrados de Astarron""",Осколки Астаррона,"""ซากปรักหักพัง​ของ​แอส​ตาร์​รอน​""","""Tàn Tích Vỡ Nát Của Astarron""",“Serpihan-serpihan Astarron”
“希望的孩子”,「希望的孩子」,"""Child of Hope""",「希望の子」,'희망의 아이',« Enfant de l'espoir »,„Kind der Hoffnung“,"""Figlio della speranza""",“Hijo de la esperanza”,"""Filha da Esperança""",«Дитя надежды»,"""บุตร​แห่ง​ความหวัง​""","""Mầm Non Hy Vọng""",“Anak Harapan”
“苍白的溃灭”,「蒼白的潰滅」,"""Collapse of Her Pale Image""",「白亜・潰滅」,'창백한 궤멸',« L'effondrement de son image pâle »,„Zusammenbruch ihres bleichen Ebenbildes“,"""Il collasso del suo compagno marmoreo""",“Colapso de Su Pálida Imagen”,"""Colapso de Sua Imagem Pálida""",Крах бледного облика,"""รูปภาพ​ซี​ดๆ​ ของ​เธอ​ที่​ผุพัง​""","""Tan Vỡ Bóng Hình Phai Tàn""",“Runtuhnya Citra Pucat”
